0,1570563372230,1570563402004,FYYNTFHSZTGQOXNJZ9WFQGDSH9NU9GZUUSYPRVFOJTJEZUANVKUENMXBBEGJZMZQXJIBNNPDOROOPTJLC
1,1570563402004,1570563472598,QBKKWHTKDGY9UPWFTJYAIRHULDJ9EF9ZSJELRSKHRBYIOLENCTQ9GWNREQNLFUKPCNFNZXKDXPFZXRQAH
2,1570563472598,1570563553184,BVYZKGNMEDGXNRMBFEIEXAMGJHQYTDDVFWILTTSDGRVZPTLCIJSIPNBBSWJZLJQB9WJQVEGGOGPKOG9GF
3,1570563553184,1570563615567,FSDGX9KZJSE9BDQJVRLOICAYPMEXHBIILLSRIKC9N9WXINRUYTLMMCPIQCNBZVBXEYFC9EAQQHO99NCBZ
4,1570563615567,1570563683622,RGQAWZKSFFFEHIUNHKMINGSS9CLKIQQWBEFXHGCXKTWXDAWRKQQBSLJBLHIUOEUNKQEGVWYNYBPFJUUYS
5,1570563683622,1570563763147,BWQPJUXWMXYQEV9AJCGZOEOJMULUJCDABLC9SVIDNSKTEXHIJXWUYJAXKWTKFITFOTKEEZXRMJNFJPVBQ
6,1570563763147,1570563872880,BASGBKSKEHJPTTY9TELCLQSKTQTUFXGMKYWOARNIDFAVWKZOVYQQRBOHKTXKWRVGFABXWSKVMMXNDWHBI
7,1570563872880,1570563943553,VRYNRYG99QOSINFLFMRXIY9LTVWNONVNIWFMFOZHUU9KRANNFZBID9HLSOICUXGQSGPWEHWOZIPVXBZED
8,1570563943553,1570564038530,IXZQEQVXGZVTEVVAVBCUKGADD9V9UZIBX9EHNHJMMWGARRW9KGYCEUDHXVWFDPNSEFDQXSDAZSQXESD9J
9,1570564038530,1570564135715,QNTZZJGILJOKC9UCGNWIQCEVHXQECKRUW9LVPSZDBNCKZMNGDZ9TIJVOCOUAVWAAJPUA9RUQVUPKAMDEV
10,1570564135715,1570564247697,MDRZBRHUCNUUJNKWZXHATVRLYEKV9KTKJBBSHXGKO99WHJCVEVXQXIFMFDSXXCPBFIOUVYXBSNLCBQAD9
11,1570564247697,1570564363578,WVTLXRMTCJDOCPLHPUCZUNJXVIQTYUUSJV9NOATJOHYQZANVULTS9AJCJ9UDBGSPBQFXXMFGYDRXFIWNN
12,1570564363578,1570564534260,AJZKMML9GFXPBLYQZVXDVRWHIW9SOZNNJATRFR9AQQIGGABQRYOUORYQKUZAABSBYFPJLRWZFXGKIABC9
